goalkeeper,penalties_faced,total_expected_goals,actual_goals_conceded,gpaa
Alisson Ramsés Becker,2,1.5637370688518049,2,-0.43626293114819514
Marc-André ter Stegen,4,3.5259006460137523,4,-0.4740993539862477
Vicente Guaita Panadero,7,4.466245289269416,5,-0.5337547107305838
Dayne Tristan St. Clair,4,3.458402099132634,4,-0.5415979008673659
Mathew Ryan,1,0.44065268995344536,1,-0.5593473100465547
Prabhushkan Singh Gill,4,3.4203060717698266,4,-0.5796939282301734
Pau López Sabata,5,4.406653006781311,5,-0.593346993218689
Mike Maignan,3,2.39757754901998,3,-0.6024224509800198
Kasper Schmeichel,8,5.380008940489524,6,-0.6199910595104763
Diego Alves Carreira,5,4.331911159265651,5,-0.6680888407343488
Paul Bernardoni,6,5.278716538208299,6,-0.7212834617917014
Yann Sommer,8,7.1224208788609085,8,-0.8775791211390915
Igor Akinfeev,4,1.9162398952233959,3,-1.0837601047766041
